episode,scenario,steps,decisions,avg_reward,avg_queue,throughput
244,low_traffic,3603,109,-0.331,0.41,898
245,low_traffic,3610,118,-0.436,0.369,864
246,normal,3618,108,-0.35,0.377,913
247,low_traffic,3650,110,-0.146,0.346,927
248,normal,3636,109,-0.191,0.365,942
249,low_traffic,3619,119,-0.527,0.332,855
250,low_traffic,3629,104,-0.443,0.392,903
251,low_traffic,3630,112,-0.179,0.322,920
252,normal,3651,107,-0.621,0.406,921
253,low_traffic,3660,115,-0.188,0.331,916
254,low_traffic,3624,107,-0.05,0.36,861
255,low_traffic,3619,110,-0.235,0.396,907
256,normal,3610,107,-0.157,0.334,942
257,normal,3620,102,-0.36,0.414,962
258,normal,3630,93,0.089,0.379,936
259,low_traffic,3646,104,-0.339,0.417,894
260,low_traffic,3627,102,-0.136,0.42,926
261,low_traffic,3601,101,-0.152,0.351,847
262,low_traffic,3620,104,-0.272,0.424,880
263,low_traffic,3617,107,-0.318,0.398,827
264,normal,3602,110,-0.589,0.433,937
265,low_traffic,3629,110,-0.518,0.441,858
266,low_traffic,3613,108,-0.243,0.337,880
267,low_traffic,3612,98,-0.436,0.453,963
268,low_traffic,3601,113,-0.469,0.355,761
269,low_traffic,3655,107,-0.396,0.404,1008
270,low_traffic,3616,109,-0.716,0.416,917
271,normal,3639,98,0.201,0.391,921
272,low_traffic,3606,116,-0.278,0.338,812
273,low_traffic,3606,113,-0.2,0.383,852
274,low_traffic,3600,110,-0.348,0.417,908
275,low_traffic,3610,110,-0.375,0.354,912
276,low_traffic,3640,97,0.097,0.391,899
277,low_traffic,3644,120,-0.546,0.422,824
278,low_traffic,3609,98,-0.102,0.393,960
279,low_traffic,3634,122,-0.465,0.352,890
280,low_traffic,3657,112,-0.07,0.415,1012
281,normal,3632,110,-0.37,0.439,932
282,low_traffic,3632,108,-0.316,0.38,897
283,low_traffic,3600,116,-0.6,0.443,861
284,normal,3630,97,0.051,0.403,982
285,low_traffic,3657,104,-0.178,0.446,864
286,normal,3623,95,0.06,0.424,899
287,low_traffic,3645,108,-0.213,0.357,879
288,low_traffic,3603,99,-0.337,0.463,833
289,low_traffic,3608,108,-0.032,0.33,976
290,normal,3617,92,0.21,0.379,961
291,normal,3600,110,-0.165,0.321,863
292,low_traffic,3632,102,-0.144,0.386,954
293,low_traffic,3605,111,-0.393,0.405,904
294,low_traffic,3668,112,-0.151,0.396,869
295,low_traffic,3632,112,-0.443,0.379,918
296,normal,3604,99,0.029,0.381,913
297,low_traffic,3608,99,-0.307,0.438,992
298,low_traffic,3621,107,-0.284,0.406,903
299,low_traffic,3604,114,-0.479,0.368,880
300,normal,3615,107,-0.176,0.329,961
301,low_traffic,3645,115,-0.18,0.352,971
302,low_traffic,3649,108,-0.094,0.345,911
303,peak_hour,3615,108,-0.398,0.412,985
304,normal,3607,101,-0.193,0.394,928
305,peak_hour,3613,99,-0.247,0.453,903
306,peak_hour,3602,107,-0.236,0.372,966
307,normal,3659,91,0.392,0.418,983
308,peak_hour,3611,103,0.043,0.371,931
309,normal,3610,112,-0.167,0.372,952
310,low_traffic,3626,108,-0.358,0.357,913
311,low_traffic,3611,105,-0.141,0.408,938
312,normal,3605,105,-0.067,0.405,990
313,normal,3626,111,-0.437,0.384,930
314,normal,3612,97,-0.229,0.365,1006
315,low_traffic,3635,123,-0.284,0.381,877
316,normal,3605,97,-0.243,0.47,1012
317,low_traffic,3608,113,-0.561,0.49,913
318,normal,3601,114,-0.156,0.39,959
319,low_traffic,3613,111,-0.288,0.392,921
