step,chosen_phase,time_pct,actual_seconds,north_count,north_wait_norm,north_ev,south_count,south_wait_norm,south_ev,cityhall_count,cityhall_wait_norm,cityhall_ev,brudger_count,brudger_wait_norm,brudger_ev,estanislao_count,estanislao_wait_norm,estanislao_ev,ped_exists,ped_wait_norm,weather,day_norm,time_of_day
1555,1,0.294,24,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.461,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.018
1579,1,0.295,24,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.520,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.018
1603,1,0.295,24,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.018
1627,1,0.296,24,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.637,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.018
1651,1,0.298,24,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.696,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.019
1675,1,0.300,24,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.019
1700,1,0.302,25,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.019
1725,1,0.305,25,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.875,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.020
1750,1,0.308,25,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.936,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.020
1775,1,0.311,25,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.020
1800,1,0.315,25,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.020
1825,1,0.319,25,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.021
1851,1,0.323,26,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.181,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.021
1877,1,0.328,26,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.245,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.021
1903,1,0.332,26,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.309,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.022
1929,1,0.337,26,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.373,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000,0.022
1954,1,0.305,25,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.436,0.000,0.000,0.000,0.000,1.000,0.020,0.000,0.000,0.000,-1.000,0.000,0.022
1992,4,0.301,25,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.498,0.000,0.000,0.000,0.000,2.000,0.081,0.000,0.000,0.000,-1.000,0.000,0.022
2025,0,0.207,20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.174,0.000,0.000,0.000,-1.000,0.000,0.023
2045,0,0.203,20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.255,0.000,0.000,0.000,-1.000,0.000,0.023
2065,0,0.204,20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.304,0.000,0.000,0.000,-1.000,0.000,0.024
2085,0,0.200,20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.353,0.000,0.000,0.000,-1.000,0.000,0.024
2105,0,0.201,20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.402,0.000,0.000,0.000,-1.000,0.000,0.024
2124,0,0.198,19,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.451,0.000,0.000,0.000,-1.000,0.000,0.024
2143,0,0.199,19,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.498,0.000,0.000,0.000,-1.000,0.000,0.024
2163,0,0.201,20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.544,0.000,0.000,0.000,-1.000,0.000,0.025
